Train Epoch: 4 (epsilon = 0.4619, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4630, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4642, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4653, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4665, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4676, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4688, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4699, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4710, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4722, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4733, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4745, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4756, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4767, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4778, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4789, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4800, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4811, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
Train Epoch: 4 (epsilon = 0.4822, delta = 1e-05), clip value = 0.5220300817376 for alpha = 31.0
