Train Epoch: 0 (epsilon = 1.9523, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9563, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9602, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9642, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9682, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9721, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9761, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9801, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9841, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9880, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9920, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9960, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 1.9999, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 2.0039, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 2.0079, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 2.0118, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 2.0158, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Train Epoch: 0 (epsilon = 2.0198, delta = 1e-05), clip value = 0.09 for alpha = 7.0
0.5120000000000001
Train Epoch: 0 (epsilon = 2.0237, delta = 1e-05), clip value = 0.09 for alpha = 7.0
Acc :  0.0603
0.40960000000000013
Epoch : 0 Batch 48 Top Acc : 0.0733 c : 0.05
Train Epoch: 1 (epsilon = 2.2117, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2154, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2190, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2226, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2263, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2299, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2335, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2372, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2408, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2444, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2481, delta = 1e-05), clip value = 0.05 for alpha = 6.8
Train Epoch: 1 (epsilon = 2.2517, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2552, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2587, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2622, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2657, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2692, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2727, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2762, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2797, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2832, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2867, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2902, delta = 1e-05), clip value = 0.05 for alpha = 6.7
Train Epoch: 1 (epsilon = 2.2937, delta = 1e-05), clip value = 0.05 for alpha = 6.7
