
Train Epoch: 3 (epsilon = 0.2797, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2804, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2811, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2818, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2825, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2832, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2839, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2846, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2852, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2859, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2866, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2873, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2879, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2886, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2893, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2900, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2906, delta = 1e-05), clip value = 0.963578445946 for alpha = 49.0
Train Epoch: 3 (epsilon = 0.2913, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2920, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2926, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2933, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2939, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2946, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2953, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2959, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2966, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Train Epoch: 3 (epsilon = 0.2972, delta = 1e-05), clip value = 0.963578445946 for alpha = 48.0
Epoch 3 Test Accuracy: 0.8029
Train Epoch: 4 (epsilon = 0.2979, delta = 1e-05), clip value = 0.858754318032 for alpha = 48.0
Train Epoch: 4 (epsilon = 0.2986, delta = 1e-05), clip value = 0.858754318032 for alpha = 48.0
Train Epoch: 4 (epsilon = 0.2992, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.2999, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3005, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3012, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3018, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3024, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3031, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3037, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3044, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3050, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3057, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3063, delta = 1e-05), clip value = 0.858754318032 for alpha = 47.0
Train Epoch: 4 (epsilon = 0.3069, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3076, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3082, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3088, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3095, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3101, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3107, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3114, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3120, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3126, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3132, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3139, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
Train Epoch: 4 (epsilon = 0.3145, delta = 1e-05), clip value = 0.858754318032 for alpha = 46.0
