Train Epoch: 25 (epsilon = 0.7918, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7920, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7923, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7926, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7929, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7931, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7934, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7937, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7940, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7942, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7945, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7948, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7951, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7953, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7956, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7959, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7962, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7964, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7967, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7970, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7973, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7976, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7978, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7981, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Epoch 25 Test Accuracy: 0.8354
Train Epoch: 26 (epsilon = 0.7984, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.7987, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.7989, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.7992, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.7995, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.7998, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8000, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8003, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8006, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8009, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8011, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8014, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8017, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8020, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8022, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8025, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8028, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8031, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8033, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8036, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8039, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8042, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8045, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8047, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8050, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8053, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8056, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8058, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8061, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8064, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8067, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8069, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8072, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8075, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8078, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8080, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8083, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8086, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8089, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8091, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8094, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8097, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8100, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8102, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8105, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8108, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8111, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8114, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8116, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8119, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8122, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8125, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8127, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8130, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8133, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8136, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8138, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8141, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Train Epoch: 26 (epsilon = 0.8144, delta = 1e-05), clip value = 0.4642966823279997 for alpha = 21.0
Epoch 26 Test Accuracy: 0.8357
Train Epoch: 27 (epsilon = 0.8147, delta = 1e-05), clip value = 0.4764464295940003 for alpha = 21.0
Train Epoch: 27 (epsilon = 0.8149, delta = 1e-05), clip value = 0.4764464295940003 for alpha = 21.0
Train Epoch: 27 (epsilon = 0.8152, delta = 1e-05), clip value = 0.4764464295940003 for alpha = 21.0
Train Epoch: 27 (epsilon = 0.8155, delta = 1e-05), clip value = 0.4764464295940003 for alpha = 21.0
Train Epoch: 27 (epsilon = 0.8158, delta = 1e-05), clip value = 0.4764464295940003 for alpha = 21.0
