Train Epoch: 3 (epsilon = 0.8238, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8254, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8271, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8287, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8303, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8319, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8336, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Epoch 3 Test Accuracy: 0.8293
Train Epoch: 4 (epsilon = 0.8352, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8368, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8384, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8401, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8417, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8433, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8449, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8466, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8482, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8498, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8514, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8531, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8547, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8563, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8579, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8596, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8612, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
Train Epoch: 4 (epsilon = 0.8628, delta = 1e-05), clip value = 1.2840919038560001 for alpha = 18.0
